path_to_main,path_to_default_config,whether_to_run,delta:kwargs/model,delta:kwargs/layer_cutoff,delta:kwargs/original_dataset_name,delta:kwargs/original_dataset_path,delta:kwargs/cache_save_path,delta:kwargs/model_path,delta:kwargs/n_epochs,status,run_folder,walltime
__RUNNER__,./configs/caching/caching.yaml,0,deit3b,-1,in_val,./data/datasets/ImageNet2012,./data/datasets/cached/in_val_deit3b_-1.hdf5,./models/deit3/deit_3_base_224_21k.pth,1,Completed,./experiments/caching/2024-09-05_18:25:44.610887---70c771717b988c083c37---1347736,0:02:32.189271
__RUNNER__,./configs/caching/caching.yaml,0,deit3b,-1,in_train,./data/datasets/ImageNet2012,./data/datasets/cached/in_train_deit3b_-1_4_epochs.hdf5,./models/deit3/deit_3_base_224_21k.pth,4,Completed,./experiments/caching/2024-09-05_18:28:22.715669---de6a134253e8f45a5901---1349774,0:58:06.222538
__RUNNER__,./configs/caching/caching.yaml,0,deit3b,-1,in_a,./data/datasets,./data/datasets/cached/in_a_deit3b_-1_.hdf5,./models/deit3/deit_3_base_224_21k.pth,1,Completed,./experiments/caching/2024-09-05_19:26:39.874230---cde6800eeb4eef6c2a67---1382157,0:00:35.003088
__RUNNER__,./configs/caching/caching.yaml,0,deit3b,-1,in_r,./data/datasets,./data/datasets/cached/in_r_deit3b_-1_.hdf5,./models/deit3/deit_3_base_224_21k.pth,1,Completed,./experiments/caching/2024-09-05_19:27:20.297892---244b883fa1fba6a3f75d---1383632,0:05:39.553327
__RUNNER__,./configs/caching/caching.yaml,0,deit3b,-1,in_c,./data/datasets/imagenet-c,./data/datasets/cached,./models/deit3/deit_3_base_224_21k.pth,1,Completed,./experiments/caching/2024-08-30_19:21:50.140234---eac587e8ba1ef8c920f3---1553119,15:35:45.739317
__RUNNER__,./configs/caching/caching.yaml,0,deit3b,-1,inaturalist,./data/datasets/,./data/datasets/cached/inat_deit3b_-1_.hdf5,./models/deit3/deit_3_base_224_21k.pth,1,Completed,./experiments/caching/2024-08-31_11:05:00.138562---958bdab038870c8f0c36---2557408,0:07:10.179287
__RUNNER__,./configs/caching/caching.yaml,0,deit3b,-1,openimages,./data/datasets/,./data/datasets/cached/oi_deit3b_-1_.hdf5,./models/deit3/deit_3_base_224_21k.pth,1,Completed,./experiments/caching/2024-09-05_19:33:04.815417---38c611d878751bea49ff---1386562,0:04:16.926151
