path_to_main,path_to_default_config,whether_to_run,delta:results_save_path,delta:eval_type,status,run_folder,results_save_path,walltime
./diverse_universe/cross_eval/main.py,./configs/eval/eval.yaml,0,./result_pickles/eval_results.pkl,ood_gen,Completed,./experiments/eval/2024-09-23_01:10:49.981218---e8c9abb20d74dcaaa3da---3641588,./result_pickles/eval_results.pkl,4:29:22.964911
./diverse_universe/cross_eval/main.py,./configs/eval/eval.yaml,0,./result_pickles/eval_results.pkl,ood_det,Completed,./experiments/eval/2024-09-23_05:40:28.076844---e5c18df9fdf525d5350a---3857233,./result_pickles/eval_results.pkl,6:11:41.694574
