path_to_main,path_to_default_config,whether_to_run,status,run_folder,slurm job id,train data with updating weights task_loss,train data with updating weights repulsion_loss,train data with updating weights regularizer_loss,train data with updating weights total_loss,train data with updating weights ID_loss_dis,train data with updating weights ID_loss_kl,train data with updating weights ID_loss_var,train data with updating weights ID_loss_std,train data with updating weights ID_loss_max_var,val accuracy-top-k->mean,val accuracy-top-k->max,val accuracy-top-k->min,val accuracy-top-k->std,val task_loss,val repulsion_loss,val regularizer_loss,val total_loss,val ID_loss_dis,val ID_loss_kl,val ID_loss_var,val ID_loss_std,val ID_loss_max_var,final checkpoint path,walltime
./diverse_universe/train/main.py,./configs/training/OOD_gen.yaml,0,Completed,./experiments/training/2024-09-22_15:55:36.579707---1b6ce890847d52112580---2735073,Not found,4.5069,0.8550,0.000000E+00,2.2535,0.6811,-3.626828E-02,-3.473515E-06,-1.377051E-04,9.757691E-05,0.8499,0.8510,0.8494,0.0006,4.4365,0.8025,0.000000E+00,2.2183,0.1096,-3.340930E-02,-3.832698E-06,-1.582296E-04,0.0021,./experiments/training/2024-09-22_15:55:36.579707---1b6ce890847d52112580---2735073/checkpoint-epoch_11.pkl,0:47:16.333734
./diverse_universe/train/main.py,./configs/training/50_models.yaml,0,Completed,./experiments/training/2024-09-22_16:43:13.661568---e068e54bf7fb12be42ab---2777506,Not found,3.4275,0.000000E+00,0.000000E+00,1.7137,0.0207,-5.460437E-02,-2.653195E-07,-1.832465E-04,1.047754E-05,0.8259,0.8286,0.8229,0.0015,3.0180,0.000000E+00,0.000000E+00,1.5090,?,-5.638816E-02,-5.000212E-07,-2.368352E-04,0.0002,./experiments/training/2024-09-22_16:43:13.661568---e068e54bf7fb12be42ab---2777506/checkpoint-epoch_11.pkl,6:24:53.427176
./diverse_universe/train/main.py,./configs/training/OOD_det_covariate.yaml,0,Completed,./experiments/training/2024-09-22_23:08:29.332177---9c3a8f67fff09b995823---3457089,Not found,5.9533,0.1571,0.000000E+00,3.3694,0.0616,-6.610764E+00,-5.611844E-04,-1.106333E-03,0.2786,0.0031,0.0057,0.0010,0.0017,5.7675,0.2779,0.000000E+00,3.5784,0.0096,-6.233541E+00,-5.252461E-04,-1.679785E-03,0.1045,./experiments/training/2024-09-22_23:08:29.332177---9c3a8f67fff09b995823---3457089/checkpoint-epoch_11.pkl,0:52:05.993073
./diverse_universe/train/main.py,./configs/training/OOD_det_semantic.yaml,0,Completed,./experiments/training/2024-09-23_00:00:47.501110---9019aecc4cc0e4ed0dd0---3562177,Not found,0.9192,0.9077,0.000000E+00,0.6865,3.8327,-1.191592E+00,-7.503462E-05,-2.902041E-04,0.0043,0.8200,0.8258,0.8112,0.0055,0.7099,6.5274,0.000000E+00,1.9868,0.4150,-7.016409E-01,-3.856736E-05,-3.111850E-04,0.0038,./experiments/training/2024-09-23_00:00:47.501110---9019aecc4cc0e4ed0dd0---3562177/checkpoint-epoch_11.pkl,0:12:39.103729
