path_to_main,path_to_default_config,whether_to_run,status,run_folder,WandB url,slurm job id,train data with updating weights task_loss,train data with updating weights repulsion_loss,train data with updating weights regularizer_loss,train data with updating weights total_loss,train data with updating weights ID_loss_dis,train data with updating weights ID_loss_kl,train data with updating weights ID_loss_var,train data with updating weights ID_loss_std,train data with updating weights ID_loss_max_var,val accuracy-top-k->mean,val accuracy-top-k->max,val accuracy-top-k->min,val accuracy-top-k->std,val task_loss,val repulsion_loss,val regularizer_loss,val total_loss,val ID_loss_dis,val ID_loss_kl,val ID_loss_var,val ID_loss_std,val ID_loss_max_var,final checkpoint path,walltime
./diverse_universe/train/main.py,./configs/training/OOD_gen.yaml,0,Completed,/mnt/lustre/work/oh/arubinstein17/github/diverse-universe-public/experiments/training/2024-08-20_18:34:24.042150---71012decf7a617c2fee9---4192664,?,Not found,4.4921,0.8771,0.000000E+00,2.2461,0.6992,-3.328752E-02,-3.545472E-06,-1.333360E-04,0.0001,0.8515,0.8519,0.8509,0.0003,4.4320,0.7788,0.000000E+00,2.2160,0.7193,-2.562478E-02,-2.822422E-06,-1.380875E-04,8.023081E-05,/mnt/lustre/work/oh/arubinstein17/github/diverse-universe-public/experiments/training/2024-08-20_18:34:24.042150---71012decf7a617c2fee9---4192664/checkpoint-epoch_11.pkl,0:46:23.428892
./diverse_universe/train/main.py,./configs/training/50_models.yaml,0,Completed,/mnt/lustre/work/oh/arubinstein17/github/diverse-universe-public/experiments/training/2024-08-20_19:20:56.869597---a31eda6678d04cc7b84c---220573,?,Not found,3.3682,0.000000E+00,0.000000E+00,1.6841,0.0196,-5.719119E-02,-3.013840E-07,-1.876475E-04,1.219598E-05,0.8259,0.8291,0.8231,0.0013,3.0174,0.000000E+00,0.000000E+00,1.5087,?,-5.638952E-02,-5.006554E-07,-2.369452E-04,1.195983E-05,/mnt/lustre/work/oh/arubinstein17/github/diverse-universe-public/experiments/training/2024-08-20_19:20:56.869597---a31eda6678d04cc7b84c---220573/checkpoint-epoch_11.pkl,6:34:00.512779
./diverse_universe/train/main.py,./configs/training/OOD_det_covariate.yaml,0,Completed,/mnt/lustre/work/oh/arubinstein17/github/diverse-universe-public/experiments/training/2024-08-20_16:39:27.906889---ac2e41a789c6ad8c8ade---3858786,https://wandb.ai/suerte412/training/runs/nhibsaqn,Not found,6.0176,0.1505,0.000000E+00,3.3850,0.0481,-6.770012E+00,-5.851976E-04,-1.130033E-03,0.2907,0.0033,0.0064,0.0010,0.0018,5.7712,0.2395,0.000000E+00,3.4844,0.0675,-6.186438E+00,-5.257340E-04,-1.684621E-03,0.1043,/mnt/lustre/work/oh/arubinstein17/github/diverse-universe-public/experiments/training/2024-08-20_16:39:27.906889---ac2e41a789c6ad8c8ade---3858786/checkpoint-epoch_11.pkl,0:53:09.237425
./diverse_universe/train/main.py,./configs/training/OOD_det_semantic.yaml,0,Completed,/mnt/lustre/work/oh/arubinstein17/github/diverse-universe-public/experiments/training/2024-08-20_16:39:27.906413---2533b6f9c4f4eebf3bb4---3858784,?,Not found,0.8648,0.9727,0.000000E+00,0.6756,3.8850,-1.111181E+00,-6.937397E-05,-2.754101E-04,0.0036,0.8225,0.8293,0.8133,0.0056,0.7012,1.8955,0.000000E+00,0.8245,2.7880,-6.223987E-01,-3.489041E-05,-2.950591E-04,0.0006,/mnt/lustre/work/oh/arubinstein17/github/diverse-universe-public/experiments/training/2024-08-20_16:39:27.906413---2533b6f9c4f4eebf3bb4---3858784/checkpoint-epoch_11.pkl,0:18:46.760232
